,0
0,0.8116073
1,0.8269723
2,0.82936794
3,0.82891995
4,0.82936794
5,0.82936794
6,0.82936794
7,0.82936794
8,0.82978934
9,0.82978934
10,0.82936794
11,0.82936794
12,0.82978934
13,0.82978934
14,0.82978934
15,0.82978934
16,0.82978934
17,0.8288808
18,0.82978934
19,0.82978934
20,0.82978934
21,0.8289815
22,0.82906866
23,0.82906866
24,0.79805565
25,0.8268994
26,0.791397
27,0.7754859
28,0.807921
29,0.80941385
30,0.8146454
31,0.82978934
32,0.82978934
33,0.82978934
34,0.82978934
35,0.82978934
36,0.82936794
37,0.82978934
38,0.82978934
39,0.82978934
40,0.8298967
41,0.8195038
42,0.82936794
43,0.82978934
44,0.8285943
45,0.82978934
46,0.8289776
47,0.8289776
48,0.82978934
49,0.8285943
50,0.82978934
51,0.8298967
52,0.8298967
53,0.82978934
54,0.82978934
55,0.82444274
56,0.79997057
57,0.79500604
58,0.7946692
59,0.774963
60,0.7848913
61,0.7817109
62,0.7749808
63,0.7610898
64,0.7992613
65,0.7836619
66,0.7841004
67,0.7904219
68,0.79316944
69,0.79427475
70,0.79863197
71,0.79843754
72,0.8195038
73,0.82978934
74,0.82978934
75,0.82978934
76,0.8289815
77,0.7976887
78,0.79109555
79,0.7914861
80,0.7971852
81,0.7920231
82,0.78636944
83,0.7931282
84,0.78407073
85,0.7858203
86,0.81644565
87,0.8167794
88,0.82148516
89,0.82978934
90,0.82936794
91,0.82978934
92,0.82978934
93,0.82936794
94,0.82936794
95,0.8206949
96,0.82936794
97,0.82936794
98,0.8265509
99,0.82936794
100,0.82936794
101,0.8240617
102,0.8243954
103,0.8298967
104,0.8289815
105,0.82978934
106,0.82978934
107,0.82978934
108,0.82978934
109,0.8285943
110,0.82936794
111,0.82936794
112,0.82978934
113,0.82978934
114,0.8289776
115,0.82978934
116,0.82978934
117,0.82978934
118,0.82936794
119,0.82978934
120,0.8289776
121,0.82978934
122,0.8285943
123,0.82936794
124,0.82978934
125,0.82936794
126,0.82936794
127,0.82936794
128,0.82936794
129,0.82936794
130,0.82936794
131,0.82936794
132,0.82936794
133,0.82936794
134,0.82936794
135,0.82978934
136,0.82978934
137,0.82891995
138,0.82936794
139,0.8298967
140,0.8295088
141,0.8289776
142,0.8289815
143,0.8289776
144,0.82978934
145,0.82978934
146,0.82978934
147,0.82978934
148,0.82936794
149,0.82936794
150,0.82978934
151,0.82978934
152,0.82936794
153,0.82936794
154,0.82936794
155,0.82978934
156,0.82978934
157,0.82978934
158,0.82978934
159,0.82936794
160,0.82936794
161,0.82936794
162,0.82936794
163,0.82936794
164,0.82936794
165,0.82978934
166,0.8293222
167,0.82978934
168,0.82978934
169,0.82978934
170,0.8289776
171,0.82978934
172,0.82978934
173,0.82936794
174,0.82936794
175,0.8293222
176,0.82978934
177,0.82936794
178,0.82978934
179,0.82936794
180,0.82936794
181,0.82936794
182,0.82906866
183,0.82891995
184,0.82936794
185,0.82978934
186,0.82936794
187,0.82978934
188,0.82978934
189,0.82978934
190,0.82936794
191,0.8289815
192,0.82936794
193,0.82978934
194,0.82978934
195,0.8298967
196,0.8298967
197,0.8289776
198,0.82978934
199,0.82978934
200,0.82978934
201,0.8289776
202,0.82936794
203,0.82978934
204,0.82978934
205,0.8267987
206,0.8298967
207,0.80739945
208,0.8026609
209,0.7761596
210,0.82295775
211,0.82978934
212,0.82978934
213,0.80066967
214,0.8114129
215,0.8289776
216,0.82978934
217,0.82978934
218,0.8086959
219,0.80311656
220,0.8066273
221,0.806439
222,0.82023823
223,0.8012028
224,0.7763048
225,0.8022097
226,0.7941921
227,0.8013921
228,0.8068461
229,0.8087018
230,0.82978934
231,0.8298967
232,0.8288808
233,0.8289815
234,0.80278
235,0.8117501
236,0.7920231
237,0.81382895
238,0.82978934
239,0.82978934
240,0.81196874
241,0.79361653
242,0.79150593
243,0.7925769
244,0.77575076
245,0.77194583
246,0.75657886
247,0.7591477
248,0.7752405
249,0.8073824
250,0.8006959
251,0.78708637
252,0.794624
253,0.80186087
254,0.827
255,0.82978934
256,0.82936794
257,0.82763386
258,0.8219796
259,0.80904394
260,0.8203116
261,0.82978934
262,0.82936794
263,0.82978934
264,0.82978934
265,0.82936794
266,0.82978934
267,0.82936794
268,0.8285943
269,0.82936794
270,0.82891995
271,0.82978934
272,0.82978934
273,0.8298967
274,0.829223
275,0.8289776
276,0.8289776
277,0.82936794
278,0.82936794
279,0.82978934
280,0.82936794
281,0.82936794
282,0.82978934
283,0.82936794
284,0.82936794
285,0.82978934
286,0.82936794
287,0.82978934
288,0.82978934
289,0.82936794
290,0.82978934
291,0.82978934
292,0.82978934
293,0.82978934
